mechanism,method,parameter,bias,RMSE,SD,estimated_SE,coverage_valid,valid_CI,SD_valid,CI_failure_rate,covered_and_available,bias_MCSE,replications
MAR,candidate_saturated,P001,0.006485298164359863,0.026337488359074727,0.025655137134650532,0.029311657853703703,0.971830985915493,71,0.024416484316406795,0.29,0.69,0.0025655137134650533,100
MAR,candidate_saturated,P010,-0.002169567503962065,0.025320387477305185,0.02535435728190343,0.032142496494834104,0.9577464788732394,71,0.024597090284201067,0.29,0.68,0.002535435728190343,100
MAR,candidate_saturated,P011,-0.0006526953716566933,0.017342100468992466,0.017417117941911954,0.021985010336096553,1.0,71,0.01448656223353216,0.29,0.71,0.0017417117941911954,100
MAR,candidate_saturated,P100,0.0028584430189809345,0.018046192068061954,0.017908136846634816,0.01997283976073411,0.971830985915493,71,0.016494154108277252,0.29,0.69,0.0017908136846634815,100
MAR,candidate_saturated,P101,0.0038266982090045705,0.027587929292401503,0.02745888061642015,0.034318115863797974,0.9859154929577465,71,0.024737881884097347,0.29,0.7,0.002745888061642015,100
MAR,candidate_saturated,P110,0.0036112294485534046,0.024022829343430745,0.02386949685973432,0.021989597611279204,0.9154929577464789,71,0.020877440824772567,0.29,0.65,0.002386949685973432,100
MAR,candidate_saturated,P111,-0.010516366692671366,0.03946438621775452,0.038229025557554655,0.04345034165538007,0.9859154929577465,71,0.03261210811962394,0.29,0.7,0.0038229025557554655,100
MAR,candidate_saturated,mean_Y1,-0.00021999601613248876,0.024045990405437083,0.024166118203415972,0.022194305077669927,0.9014084507042254,71,0.024199925811718103,0.29,0.64,0.002416611820341597,100
MAR,candidate_saturated,mean_Y2,-0.009727400119736739,0.0553962743673474,0.05481027792628442,0.0760631959763961,1.0,71,0.04702384643104576,0.29,0.71,0.005481027792628442,100
MAR,candidate_saturated,mean_Y3,-0.0008570656909636853,0.05368989738086976,0.05395350148408938,0.05896418284550184,1.0,71,0.04572971559417966,0.29,0.71,0.005395350148408938,100
MAR,candidate_saturated,p_class2,0.002284717723787516,0.04845634596822942,0.048646296375218646,0.053091069764725704,0.9859154929577465,71,0.04486280035427992,0.29,0.7,0.004864629637521865,100
MAR,oracle,M1_class1,-0.001219257054586892,0.030295039592725625,0.030422991640587982,0.031496830488421626,0.94,100,0.030422991640587982,0.0,0.94,0.0030422991640587983,100
MAR,oracle,M1_class2,0.004286642093650549,0.039458826709025785,0.03942290398230258,0.03957095271414499,0.94,100,0.03942290398230258,0.0,0.94,0.003942290398230258,100
MAR,oracle,M2_class1,-0.0003518797892686007,0.03276851718799769,0.032931700047126984,0.032465321459556704,0.95,100,0.032931700047126984,0.0,0.95,0.0032931700047126983,100
MAR,oracle,M2_class2,0.0044058831176026466,0.03635770186508622,0.03627157217915978,0.037369061245296445,0.91,100,0.03627157217915978,0.0,0.91,0.003627157217915978,100
MAR,oracle,M3_class1,0.00526105534094704,0.03385484087345714,0.0336120400996909,0.034187916995538845,0.98,100,0.0336120400996909,0.0,0.98,0.00336120400996909,100
MAR,oracle,M3_class2,-0.0016267117192937041,0.03778320651293321,0.037938340503810945,0.03608707760045828,0.94,100,0.037938340503810945,0.0,0.94,0.0037938340503810945,100
MAR,oracle,P000,-0.0009720506436919663,0.019569600333143037,0.019643910171174724,0.01971693329336283,0.95,100,0.019643910171174724,0.0,0.95,0.0019643910171174726,100
MAR,oracle,P001,0.0017387239888078379,0.011654277897015248,0.011581901249672873,0.011498953952012468,0.95,100,0.011581901249672873,0.0,0.95,0.0011581901249672873,100
MAR,oracle,P010,-0.0002373487792588569,0.012905402389800933,0.01296822365037422,0.012577126896278717,0.94,100,0.01296822365037422,0.0,0.94,0.0012968223650374222,100
MAR,oracle,P011,-0.00030932314590343996,0.010180495416510345,0.010227058885696888,0.010779958425961671,0.96,100,0.010227058885696888,0.0,0.96,0.0010227058885696888,100
MAR,oracle,P100,-0.00042391051927922953,0.009638214019787743,0.009677395788921303,0.009606862707300805,0.96,100,0.009677395788921303,0.0,0.96,0.0009677395788921303,100
MAR,oracle,P101,-0.001202762321460209,0.010491468950400047,0.010474803030152347,0.011825106766720885,0.93,100,0.010474803030152347,0.0,0.93,0.0010474803030152348,100
MAR,oracle,P110,0.0006333070569922547,0.010052920591447514,0.010083496597201338,0.009176260060162816,0.91,100,0.010083496597201338,0.0,0.91,0.0010083496597201337,100
MAR,oracle,P111,0.0007733643637935514,0.019145400839257396,0.019226146991480956,0.018637740314872267,0.94,100,0.019226146991480956,0.0,0.94,0.0019226146991480955,100
MAR,oracle,mean_Y1,-0.00022000141995367372,0.024046003116576325,0.024166130929435158,0.02218476547511266,0.9,100,0.024166130929435158,0.0,0.9,0.002416613092943516,100
MAR,oracle,mean_Y2,0.0008599994956234902,0.02193171715138195,0.022025252221712446,0.02231302764833701,0.93,100,0.022025252221712446,0.0,0.93,0.0022025252221712444,100
MAR,oracle,mean_Y3,0.0010000028852376842,0.020460450003265275,0.020538950642636073,0.022340090087201944,0.98,100,0.020538950642636073,0.0,0.98,0.0020538950642636075,100
MAR,oracle,p_class2,-0.0016492483155892746,0.03540732264177474,0.03554707330935796,0.03717525502848983,0.97,100,0.03554707330935796,0.0,0.97,0.003554707330935796,100
MAR,selection_misspecified,M1_class1,-0.019887170248230196,0.04166695084219016,0.03679914431376979,0.03828697274102456,0.9375,96,0.036510696859916016,0.04,0.9,0.0036799144313769787,100
MAR,selection_misspecified,M1_class2,-0.0011628409657523408,0.04312597033605209,0.04332747184499927,0.046465400961638474,0.9791666666666666,96,0.039344591404625186,0.04,0.94,0.004332747184499927,100
MAR,selection_misspecified,M2_class1,0.06597851210345607,0.09443648394058554,0.06790579808685485,0.06462173150550525,0.9375,96,0.061688843009765695,0.04,0.9,0.006790579808685485,100
MAR,selection_misspecified,M2_class2,0.04881799688767059,0.0653941930315728,0.043730160432365134,0.04706418421703903,0.75,96,0.042389569493718256,0.04,0.72,0.004373016043236514,100
MAR,selection_misspecified,M3_class1,0.05236081530285945,0.0798130251868546,0.06054019459761004,0.05700201754328008,0.8958333333333334,96,0.06086996385497708,0.04,0.86,0.006054019459761004,100
