mechanism,rep,method,parameter,truth,estimate,se,covered
MAR,57,oracle,M1_class2,0.8,0.8355297563100414,0.034220187466930084,1.0
MAR,57,oracle,M2_class1,0.25,0.22523017136416626,0.030145870118355803,1.0
MAR,57,oracle,M2_class2,0.75,0.7546921035294907,0.034802535769101,1.0
MAR,57,oracle,M3_class1,0.2,0.15807042020867865,0.02904360261376838,1.0
MAR,57,oracle,M3_class2,0.85,0.838993640567052,0.03409643973398786,1.0
MAR,57,oracle,p_class2,0.45,0.4434120820264984,0.03193941311959751,1.0
MAR,57,oracle,mean_Y1,0.44250000000000006,0.43999998007080987,0.022199099059128157,1.0
MAR,57,oracle,mean_Y2,0.47500000000000003,0.45999998905936546,0.022289010735479647,1.0
MAR,57,oracle,mean_Y3,0.49250000000000005,0.4600000030479731,0.02228901074248995,1.0
MAR,57,oracle,P000,0.28387500000000004,0.3205981923377569,0.020701235083905825,1.0
MAR,57,oracle,P001,0.08925,0.07466027801146867,0.010639547405855914,1.0
MAR,57,oracle,P010,0.10362500000000001,0.10122395705757144,0.012849430113601195,1.0
MAR,57,oracle,P011,0.08074999999999999,0.06351759252239313,0.009536300952318532,1.0
MAR,57,oracle,P100,0.063,0.0599780791122748,0.009583542421907232,1.0
MAR,57,oracle,P101,0.08887500000000001,0.08476346147913422,0.011925761677522654,1.0
MAR,57,oracle,P110,0.057000000000000016,0.05819976844442376,0.009431461942596659,1.0
MAR,57,oracle,P111,0.233625,0.23705867103497713,0.018190351226650154,1.0
MAR,57,MAR_ignorability,M1_class1,0.15,0.12973060181123333,0.032210087172182524,1.0
MAR,57,MAR_ignorability,M1_class2,0.8,0.8770909958620419,0.03769805084440331,0.0
MAR,57,MAR_ignorability,M2_class1,0.25,0.23365790503574657,0.03338920975591222,1.0
MAR,57,MAR_ignorability,M2_class2,0.75,0.754586581459125,0.049489532873130626,1.0
MAR,57,MAR_ignorability,M3_class1,0.2,0.1858365048308202,0.03297203045084417,1.0
MAR,57,MAR_ignorability,M3_class2,0.85,0.8270923626153295,0.04206550446016766,1.0
MAR,57,MAR_ignorability,p_class2,0.45,0.4151536637504221,0.03460730350673307,1.0
MAR,57,MAR_ignorability,mean_Y1,0.44250000000000006,0.4400000075433857,0.02219909907778919,1.0
MAR,57,MAR_ignorability,mean_Y2,0.47500000000000003,0.44992335360557034,0.026239319710459234,1.0
