mechanism,rep,method,success,gradient_max,boundary,hessian_min,valid_se,nll,start_nll_range,item_rate,complete_rate,stationary,boundary_parameters
MCAR,17,candidate_saturated,True,8.006469849002329e-08,False,0.0017041427939892143,True,2.664707530002628,5.95612448250904e-12,0.8043333333333332,0.5002,True,
MCAR,18,oracle,True,2.2732716325631237e-08,False,0.007143612093779302,True,1.7921423513893533,6.883382752675971e-13,0.8015333333333333,0.4908,True,
MCAR,18,MAR_ignorability,True,6.796205858986436e-09,False,0.004711160593835345,True,1.4464309882327253,3.601563491884008e-13,0.8015333333333333,0.4908,True,
MCAR,18,selection_misspecified,True,7.317774643982312e-08,False,0.004715473426455086,True,2.6641126151193255,3.879563337250147e-12,0.8015333333333333,0.4908,True,
MCAR,18,candidate_saturated,True,4.121872563480622e-08,False,0.002117916967235328,True,2.6640125437896107,5.517364343177178e-12,0.8015333333333333,0.4908,True,
MCAR,19,oracle,True,4.521080048787464e-08,False,0.007153349587824104,True,1.796505752256517,1.4699352846037073e-13,0.8031333333333334,0.49,True,
MCAR,19,MAR_ignorability,True,2.2685498373864465e-08,False,0.0050757091648849905,True,1.454312678212689,9.636735853746359e-13,0.8031333333333334,0.49,True,
MCAR,19,selection_misspecified,True,2.081022287274692e-08,False,0.0050917721578147305,True,2.667858953912902,1.447286734901354e-12,0.8031333333333334,0.49,True,
MCAR,19,candidate_saturated,True,6.565225699048937e-08,False,0.0021695894791381853,True,2.6673415137898338,6.019185150307749e-12,0.8031333333333334,0.49,True,
MCAR,20,oracle,True,7.48194144470915e-09,False,0.007647683390168936,True,1.7991857719580042,1.3655743202889425e-13,0.7945333333333333,0.4726,True,
MCAR,20,MAR_ignorability,True,1.2059151646006773e-08,False,0.004739917852413786,True,1.4447694103794284,6.883382752675971e-13,0.7945333333333333,0.4726,True,
MCAR,20,selection_misspecified,True,5.375452463365349e-08,False,0.004723673808885053,True,2.679550151563076,2.5228708011582057e-12,0.7945333333333333,0.4726,True,
MCAR,20,candidate_saturated,True,6.326757809347327e-08,False,0.0022251908435448014,True,2.679402071940876,9.237055564881302e-12,0.7945333333333333,0.4726,True,
MCAR,21,oracle,True,7.3063248326673405e-09,False,0.006215974261922961,True,1.7719457467399744,5.582201367815287e-13,0.7974666666666667,0.4824,True,
MCAR,21,MAR_ignorability,True,1.9319039911636082e-08,False,0.004081369822981424,True,1.424319299454142,3.426148253993233e-13,0.7974666666666667,0.4824,True,
MCAR,21,selection_misspecified,True,6.190337042695326e-08,False,0.00404768953450812,True,2.652232383139183,1.5440981826486677e-12,0.7974666666666667,0.4824,True,
MCAR,21,candidate_saturated,True,9.779746517324384e-08,False,0.0023035475223218502,True,2.650869650508263,9.458211991386634e-12,0.7974666666666667,0.4824,True,
MCAR,22,oracle,True,2.1672128256868937e-08,False,0.00753333693316904,True,1.8028039791108048,2.0183854587685346e-13,0.8072,0.5052,True,
MCAR,22,MAR_ignorability,True,1.2500950532285928e-08,False,0.0056083676159659,True,1.464945285198231,1.1868284133242923e-12,0.8072,0.5052,True,
MCAR,22,selection_misspecified,True,9.208914660501222e-08,False,0.005603689234750442,True,2.6677337440977658,1.7528201112781971e-12,0.8072,0.5052,True,
MCAR,22,candidate_saturated,True,7.967902930658966e-08,False,0.002232412111193409,True,2.667219312501363,6.4570571112199104e-12,0.8072,0.5052,True,
MCAR,23,oracle,True,1.0279780459274655e-08,False,0.007047539790603023,True,1.7821502098829827,8.593126210598712e-14,0.7999333333333333,0.4908,True,
MCAR,23,MAR_ignorability,True,2.3183782561438317e-08,False,0.005100275801221707,True,1.4292232610696154,4.691802502065912e-13,0.7999333333333333,0.4908,True,
MCAR,23,selection_misspecified,True,9.315019835128835e-08,False,0.005087358444575439,True,2.6508978348446406,1.3087309014281345e-12,0.7999333333333333,0.4908,True,
MCAR,23,candidate_saturated,True,7.336105535387105e-08,False,0.002451761489123674,True,2.6504160426758654,2.0592416660747404e-12,0.7999333333333333,0.4908,True,
