mechanism,method,parameter,bias,RMSE,SD,estimated_SE,coverage_valid,valid_CI,SD_valid,CI_failure_rate,covered_and_available,bias_MCSE,replications
MAR,candidate_saturated,P000,0.002040290506211914,0.011309372890287063,0.011179848837173153,0.011449224092144106,0.96,100,0.011179848837173153,0.0,0.96,0.0011179848837173153,100
MAR,candidate_saturated,P001,0.0008285204417484282,0.007500066609850454,0.007491716167955829,0.007405351478224739,0.94,100,0.007491716167955829,0.0,0.94,0.0007491716167955829,100
MAR,candidate_saturated,P010,-0.0012636832302143385,0.008296855708431042,0.00824136642466869,0.008394400737143022,0.93,100,0.00824136642466869,0.0,0.93,0.000824136642466869,100
MAR,candidate_saturated,P011,-0.0008671127920249553,0.005491141314175511,0.0054495619635061285,0.0057252965063753734,0.91,100,0.0054495619635061285,0.0,0.91,0.0005449561963506128,100
MAR,candidate_saturated,P100,0.0007175958376588651,0.005743735097419672,0.005727441394936272,0.005342296311504896,0.9,100,0.005727441394936272,0.0,0.9,0.0005727441394936272,100
MAR,candidate_saturated,P101,0.0011427684849404055,0.008778438007473847,0.008747585758765558,0.008509554276957928,0.99,100,0.008747585758765558,0.0,0.99,0.0008747585758765558,100
MAR,candidate_saturated,P110,0.0004894781220520593,0.006981138485653681,0.006999040751295156,0.006155375388862652,0.95,100,0.006999040751295156,0.0,0.95,0.0006999040751295156,100
MAR,candidate_saturated,P111,-0.00308785737037244,0.0125987719968372,0.012276041900217052,0.01149355490795157,0.92,100,0.012276041900217052,0.0,0.92,0.0012276041900217052,100
MAR,candidate_saturated,mean_Y1,-0.0007380149257211455,0.007451687962297761,0.00745240707211782,0.007022144947189641,0.92,100,0.00745240707211782,0.0,0.92,0.000745240707211782,100
MAR,candidate_saturated,mean_Y2,-0.0047291752705596905,0.018486083150658042,0.017960961356280114,0.018589791693160135,0.96,100,0.017960961356280114,0.0,0.96,0.0017960961356280115,100
MAR,candidate_saturated,mean_Y3,-0.0019836812357086177,0.014858128756048543,0.014799296969598176,0.015139259706771345,0.95,100,0.014799296969598176,0.0,0.95,0.0014799296969598176,100
MAR,candidate_saturated,p_class2,0.00018480583579719877,0.012377384320146848,0.012438352606649557,0.013994524349878792,0.96,100,0.012438352606649557,0.0,0.96,0.0012438352606649558,100
MAR,oracle,M1_class1,-0.002058759056521938,0.009501996944411275,0.009323016867620125,0.009634152629060845,0.96,100,0.009323016867620125,0.0,0.96,0.0009323016867620125,100
MAR,oracle,M1_class2,-0.0001433976505500334,0.011468368550734133,0.011525243016753998,0.012245443572522234,0.94,100,0.011525243016753998,0.0,0.94,0.0011525243016753998,100
MAR,oracle,M2_class1,-0.0023641370244871264,0.010538686461606942,0.010321829787744922,0.01010699658871083,0.92,100,0.010321829787744922,0.0,0.92,0.0010321829787744922,100
MAR,oracle,M2_class2,-0.0007689312680211912,0.011112839824543192,0.011142055813381006,0.011530734784150096,0.93,100,0.011142055813381006,0.0,0.93,0.0011142055813381005,100
MAR,oracle,M3_class1,-0.0009081232280225862,0.010640629279270954,0.010655216565712139,0.01058421097997083,0.97,100,0.010655216565712139,0.0,0.97,0.001065521656571214,100
MAR,oracle,M3_class2,-0.00014557499209662538,0.010592224410378505,0.010644580632885179,0.011171116808989738,0.96,100,0.010644580632885179,0.0,0.96,0.001064458063288518,100
MAR,oracle,P000,0.0015049928869369223,0.006964223550866636,0.006833917645137376,0.0062316543039015425,0.95,100,0.006833917645137376,0.0,0.95,0.0006833917645137376,100
MAR,oracle,P001,0.00010044018264868934,0.003648314509631728,0.003665304227716446,0.003587864889440313,0.95,100,0.003665304227716446,0.0,0.95,0.00036653042277164457,100
MAR,oracle,P010,-0.0006500324566919392,0.004076860919708395,0.0040449810232780345,0.003967215528147447,0.96,100,0.0040449810232780345,0.0,0.96,0.00040449810232780345,100
MAR,oracle,P011,-0.00021740510087995906,0.0033806575626460843,0.003390655694459591,0.0033947337012952762,0.94,100,0.003390655694459591,0.0,0.94,0.00033906556944595913,100
