mechanism,rep,method,parameter,truth,estimate,se,covered
MCAR,49,candidate_saturated,M2_class2,0.75,0.7815804735950928,0.057694443665678496,1.0
MCAR,49,candidate_saturated,M3_class1,0.2,0.26248962570670986,0.06995274978943591,1.0
MCAR,49,candidate_saturated,M3_class2,0.85,0.8212451970612559,0.07641925050816722,1.0
MCAR,49,candidate_saturated,p_class2,0.45,0.4649750602486251,0.03632219505322931,1.0
MCAR,49,candidate_saturated,mean_Y1,0.44250000000000006,0.46800003081136343,0.0157789732880991,1.0
MCAR,49,candidate_saturated,mean_Y2,0.47500000000000003,0.5154153779018402,0.045460710034440015,1.0
MCAR,49,candidate_saturated,mean_Y3,0.49250000000000005,0.5222970311615449,0.051516683213084696,1.0
MCAR,49,candidate_saturated,P000,0.28387500000000004,0.24247508326243716,0.03359686033140453,1.0
MCAR,49,candidate_saturated,P001,0.08925,0.09930066480565941,0.02522747363656979,1.0
MCAR,49,candidate_saturated,P010,0.10362500000000001,0.10598288814344935,0.02210713478174389,1.0
MCAR,49,candidate_saturated,P011,0.08074999999999999,0.08424133297709069,0.01751931134414787,1.0
MCAR,49,candidate_saturated,P100,0.063,0.05816409230201646,0.010786746281178655,1.0
MCAR,49,candidate_saturated,P101,0.08887500000000001,0.08464478172804679,0.022241988307435297,1.0
MCAR,49,candidate_saturated,P110,0.057000000000000016,0.0710809051305522,0.02380592685578693,1.0
MCAR,49,candidate_saturated,P111,0.233625,0.25411025165074796,0.026903711174804917,1.0
MCAR,50,oracle,M1_class1,0.15,0.15947389058590627,0.0219299870623692,1.0
MCAR,50,oracle,M1_class2,0.8,0.8008510472592264,0.032133268506454836,1.0
MCAR,50,oracle,M2_class1,0.25,0.2581459667432842,0.02307411757029334,1.0
MCAR,50,oracle,M2_class2,0.75,0.7390826809614989,0.028110178592464435,1.0
MCAR,50,oracle,M3_class1,0.2,0.2060172811588594,0.024913588145684715,1.0
MCAR,50,oracle,M3_class2,0.85,0.8271393221144346,0.027672305984419793,1.0
MCAR,50,oracle,p_class2,0.45,0.4217894450063242,0.028108493059491316,1.0
MCAR,50,oracle,mean_Y1,0.44250000000000006,0.43000000553888024,0.015655669902734256,1.0
MCAR,50,oracle,mean_Y2,0.47500000000000003,0.4609999965165501,0.015763216677402055,1.0
MCAR,50,oracle,mean_Y3,0.49250000000000005,0.4680000020947068,0.015778973346424606,1.0
MCAR,50,oracle,P000,0.28387500000000004,0.29005254891998766,0.013989884426584092,1.0
MCAR,50,oracle,P001,0.08925,0.09240607833870813,0.00832927715693545,1.0
MCAR,50,oracle,P010,0.10362500000000001,0.11034401191113498,0.009213397645793287,1.0
MCAR,50,oracle,P011,0.08074999999999999,0.07719735529128906,0.0075690560773144545,1.0
MCAR,50,oracle,P100,0.063,0.06954831012019304,0.007043743026657055,1.0
MCAR,50,oracle,P101,0.08887500000000001,0.08699306610456109,0.008282477538167238,1.0
MCAR,50,oracle,P110,0.057000000000000016,0.06205512695397751,0.006660764770909132,1.0
MCAR,50,oracle,P111,0.233625,0.2114035023601486,0.012652818561595074,1.0
MCAR,50,MAR_ignorability,M1_class1,0.15,0.18832876228895726,0.02365703887063396,1.0
MCAR,50,MAR_ignorability,M1_class2,0.8,0.8244707885475137,0.03674034457678144,1.0
MCAR,50,MAR_ignorability,M2_class1,0.25,0.30008911000708166,0.02719526929319223,1.0
MCAR,50,MAR_ignorability,M2_class2,0.75,0.768381059404415,0.033856459344932796,1.0
MCAR,50,MAR_ignorability,M3_class1,0.2,0.2143001592333823,0.028231892392553744,1.0
MCAR,50,MAR_ignorability,M3_class2,0.85,0.862882394221393,0.03598286567407216,1.0
MCAR,50,MAR_ignorability,p_class2,0.45,0.3799013238322875,0.030648284023218748,0.0
MCAR,50,MAR_ignorability,mean_Y1,0.44250000000000006,0.4299999602099366,0.015655669913305956,1.0
MCAR,50,MAR_ignorability,mean_Y2,0.47500000000000003,0.4779938415231312,0.018271776726401154,1.0
MCAR,50,MAR_ignorability,mean_Y3,0.49250000000000005,0.46069740891943134,0.018475721928890732,1.0
MCAR,50,MAR_ignorability,P000,0.28387500000000004,0.2789014271557634,0.015462525051385158,1.0
MCAR,50,MAR_ignorability,P001,0.08925,0.08882033075302023,0.00955470522438604,1.0
MCAR,50,MAR_ignorability,P010,0.10362500000000001,0.12569759840280156,0.011376891915156633,1.0
MCAR,50,MAR_ignorability,P011,0.08074999999999999,0.07658068347847818,0.00842999622798263,1.0
MCAR,50,MAR_ignorability,P100,0.063,0.07416845850075769,0.007868055529489302,1.0
MCAR,50,MAR_ignorability,P101,0.08887500000000001,0.08011594206732744,0.00947161482029738,1.0
MCAR,50,MAR_ignorability,P110,0.057000000000000016,0.06053510702124599,0.007901933698926236,1.0
MCAR,50,MAR_ignorability,P111,0.233625,0.2151804526206055,0.014290622094033388,1.0
MCAR,50,selection_misspecified,M1_class1,0.15,0.18873566300391803,0.02364868496542297,1.0
MCAR,50,selection_misspecified,M1_class2,0.8,0.8252787754343838,0.03678228508610224,1.0
MCAR,50,selection_misspecified,M2_class1,0.25,0.29663057101400025,0.03584666338730821,1.0
MCAR,50,selection_misspecified,M2_class2,0.75,0.7655491065550706,0.040780064909525834,1.0
MCAR,50,selection_misspecified,M3_class1,0.2,0.21217044759419976,0.03261872019571721,1.0
MCAR,50,selection_misspecified,M3_class2,0.85,0.8611111893866589,0.03913027052271474,1.0
MCAR,50,selection_misspecified,p_class2,0.45,0.379022789790435,0.03072792853771891,0.0
MCAR,50,selection_misspecified,mean_Y1,0.44250000000000006,0.4300000092991997,0.015655669910457904,1.0
MCAR,50,selection_misspecified,mean_Y2,0.47500000000000003,0.474361382539222,0.030126477991675,1.0
MCAR,50,selection_misspecified,mean_Y3,0.49250000000000005,0.4581337779570519,0.025449648025562988,1.0
MCAR,50,selection_misspecified,P000,0.28387500000000004,0.28131679821153327,0.01969526834601006,1.0
MCAR,50,selection_misspecified,P001,0.08925,0.08855042473698625,0.012118509406302071,1.0
MCAR,50,selection_misspecified,P010,0.10362500000000001,0.12477102505435371,0.015121684669104291,1.0
MCAR,50,selection_misspecified,P011,0.08074999999999999,0.075361742697927,0.010167397286806146,1.0
MCAR,50,selection_misspecified,P100,0.063,0.07513051595153404,0.009110559186223487,1.0
MCAR,50,selection_misspecified,P101,0.08887500000000001,0.08064087856072438,0.012005977879222854,1.0
